checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
sd15_only,sd15,75,image_185.png,A person in a golf course clubhouse,38.523,0.968,0.6154,0.5868,0
sd15_only,sd15,75,image_185.png,A person in a rehab facility,38.523,0.968,0.6094,0.6217,0
sd15_only,sd15,70,image_185.png,A person in a golf course clubhouse,37.94,0.9642,0.6154,0.5775,0
sd15_only,sd15,70,image_185.png,A person in a rehab facility,37.94,0.9642,0.6094,0.5988,0
sd15_only,sd15,none,image_186.png,A person in a community arts and crafts market,78.125,1.0,0.5951,0.5804,0
sd15_only,sd15,none,image_186.png,A person in a church sanctuary,78.125,1.0,0.5683,0.4052,1
sd15_only,sd15,75,image_186.png,A person in a community arts and crafts market,35.882,0.9654,0.5951,0.4671,1
sd15_only,sd15,75,image_186.png,A person in a church sanctuary,35.882,0.9654,0.5683,0.5336,0
sd15_only,sd15,70,image_186.png,A person in a community arts and crafts market,35.1,0.9609,0.5951,0.5639,0
sd15_only,sd15,70,image_186.png,A person in a church sanctuary,35.1,0.9609,0.5683,0.4255,1
sd15_only,sd15,none,image_189.png,A person in a vintage arts fair,84.628,1.0,0.4948,0.5188,0
sd15_only,sd15,none,image_189.png,A person in a bowling alley,84.628,1.0,0.4471,0.4207,0
sd15_only,sd15,75,image_189.png,A person in a vintage arts fair,35.649,0.9561,0.4948,0.5196,0
sd15_only,sd15,75,image_189.png,A person in a bowling alley,35.649,0.9561,0.4471,0.4496,0
sd15_only,sd15,70,image_189.png,A person in a vintage arts fair,35.021,0.9513,0.4948,0.5207,0
sd15_only,sd15,70,image_189.png,A person in a bowling alley,35.021,0.9513,0.4471,0.448,0
sd15_only,sd15,none,image_201.png,A person in a high-end restaurant,88.0,1.0,0.5434,0.3949,1
sd15_only,sd15,none,image_201.png,A person in a bowling alley,88.0,1.0,0.4761,0.399,1
sd15_only,sd15,75,image_201.png,A person in a high-end restaurant,38.861,0.9611,0.5434,0.3704,1
sd15_only,sd15,75,image_201.png,A person in a bowling alley,38.861,0.9611,0.4761,0.4551,0
sd15_only,sd15,70,image_201.png,A person in a high-end restaurant,38.32,0.9559,0.5434,0.4878,1
sd15_only,sd15,70,image_201.png,A person in a bowling alley,38.32,0.9559,0.4761,0.4665,0
sd15_only,sd15,none,image_203.png,A person in a gymnasium,88.822,1.0,0.7377,0.7078,0
sd15_only,sd15,none,image_203.png,A person in a brothel,88.822,1.0,0.8258,0.6225,1
sd15_only,sd15,75,image_203.png,A person in a gymnasium,40.105,0.9774,0.7377,0.6793,1
sd15_only,sd15,75,image_203.png,A person in a brothel,40.105,0.9774,0.8258,0.4837,1
sd15_only,sd15,70,image_203.png,A person in a gymnasium,39.505,0.9748,0.7377,0.5974,1
